county,state,total_exp,medical_care_exp,edu_training_exp,exp_per_vet,county_pop,vet_pop,med_patients,state_va_fac,hs_grad_pct,clg_grad_pct,median_income,poverty_pct,unemployment_pct,severe_housing_problems_pct,smokers_pct,obesity_pct,inactive_pct,excess_alcohol_pct,diabetes_pct,food_insecure_pct,age_under18_pct,age_over65_pct,rural_pct
autauga,al,75198.38368208466,20057.504682084666,4577.286,13.185320975507107,55869,5703.1894651463,1835.0,24,88.71368217468262,28.317485809326172,67565.0,11.2,2.8,13.630966516,19.810765873,33.0,30.6,14.473886311,12.7,15.6,23.206071345,15.973079883,42.002162321
baldwin,al,177521.63193382765,50860.502933827665,7375.405,9.026919754814447,223234,19665.803702215,5658.0,24,90.47138500213623,31.907329559326172,71135.0,8.9,3.0,12.996650686,18.513318262,30.0,24.7,18.73695763,10.3,12.9,21.30231058,20.977987224,42.279099114
barbour,al,19914.886299047525,5575.517299047525,605.641,10.77152787892105,24686,1848.8450777739001,567.0,24,74.73169708251953,11.614316940307617,38866.0,25.5,5.7,13.710554951,25.53076754,41.2,28.0,12.466973719,17.5,21.9,20.586567285,19.691323017,67.789634702
bibb,al,13536.198917676567,5398.731917676567,265.849,10.701738455739154,22394,1264.8598144741,404.0,24,80.88446807861328,11.346718788146973,50907.0,17.8,3.5,9.255242227,23.084812535,37.4,33.4,15.420603275,13.6,15.1,20.349200679,16.669643655,68.352607462
blount,al,31367.76783617844,14793.631836178436,885.531,8.469308516116225,57826,3703.6988056921996,1088.0,24,82.82513618469238,13.251620292663574,55203.0,13.1,2.4,10.125664572,22.95495894,33.0,33.3,15.833283796,14.6,13.6,22.922214921,18.700930377,89.951502041
bullock,al,15084.635677770722,9205.199677770723,192.954,35.97239915464633,10101,419.3391609195,239.0,24,74.94103813171387,10.274174690246582,33124.0,30.8,4.0,20.29972752,24.905712949,46.6,42.4,11.745531457,29.5,20.5,20.849420849,16.938916939,51.374381528
butler,al,17296.16802004621,5366.352020046212,583.882,12.245938376714955,19448,1412.4003802709,433.0,24,86.35311126708984,15.955137252807617,42268.0,20.6,5.3,11.843971631,22.826806546,46.8,40.3,12.556232752,19.5,19.1,21.976552859,20.819621555,71.23215735
calhoun,al,121314.5413708153,34722.911370815295,3824.264,12.419165680826145,113605,9768.332631080999,3466.0,24,85.07351207733154,18.85597801208496,50259.0,14.5,4.1,12.594235033,21.234317808,39.7,31.1,13.720263499,17.0,17.4,21.542185643,18.086351833,33.696825557
chambers,al,28147.534588255192,7764.12358825519,1073.965,12.2877749192366,33254,2290.6941877808995,783.0,24,82.58382034301758,14.441967010498047,39318.0,16.3,3.7,14.859437751,23.216156424,42.3,28.7,13.670486494,18.4,16.4,20.788476574,20.193059482,49.148034488
cherokee,al,16347.151114667171,5546.735114667172,340.769,8.362511380101626,26196,1954.8136165847,544.0,24,82.82400894165039,12.934231758117676,50388.0,14.7,2.5,11.672070403,23.559697438,38.4,30.4,15.94083244,15.7,15.6,18.884562529,23.530309971,85.736273039
